isErrorWideL,shotDirection,isSlice,secondServeZone,pointNumber,clientTeam,Event,secondServeXCoord,firstServeYCoord,firstServeIn,lineupPosition,shotInRally,Date,Surface,firstServeZone,isErrorLong,isErrorNet,player1Hand,player2Hand,shotLocationY,isExcitingPoint,isOverhead,pointScore,setScore,isApproach,player1Name,matchDetails,gameScore,serverName,isDropshot,shotFhBh,isBreakPoint,isLob,pointStartTime,shotLocationX,isLet,isVolley,isErrorWideR,matchVenue,pointEndTime,firstServeXCoord,isAce,serverFarNear,secondServeIn,Division,side,Notes,atNetPlayer2,shotContactX,atNetPlayer1,isPointEnd,Round,isPointStart,player2Name,isWinner,opponentTeam,secondServeYCoord,shotContactY,player1,player2,returnerName,shotHitBy,pointWonBy
,Down the Line,,,4,,,,,,,12.0,,,,,,,,-283.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,220785,-102.0,,,,,,,,Near,,,Deuce,,,-156.0,,,,,,,,,516.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,4,,,,,,,13.0,,,,,,,,383.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,222224,84.0,,,,,,,,Near,,,Ad,,,-100.0,,,,,,,,,-484.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Crosscourt,,,4,,,,,,,14.0,,,,,1.0,,,18.0,,,15-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,223607,-14.0,,,,,225230.0,,,Near,,,Ad,,,148.0,,1.0,,,,,,,497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,,,,5,,,,233.0,1.0,,1.0,,,T,,,,,,,,30-30,0-0,,,,0-0,Rudy Quan,,,,,253002,,,,,,,-41.0,,Near,,,Deuce,,,,,,,1.0,,,,,,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,5,,,,,,,2.0,,,,,,,,-326.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,256040,-84.0,,,,,,,,Near,,,Deuce,,,-116.0,,,,,,,,,513.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Crosscourt,,,5,,,,,,,3.0,,,,,,,,381.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,257959,2.0,,,,,,,,Near,,,Ad,,,-172.0,,,,,,,,,-543.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,5,,,,,,,4.0,,,,,,,,-358.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,259171,60.0,,,,,,,,Near,,,Ad,,,15.0,,,,,,,,,497.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,5,,,,,,,5.0,,,,,,,,258.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,260973,95.0,,,,,,,,Near,,,Deuce,,,108.0,,,,,,,,,-508.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
,Down the Line,,,5,,,,,,,6.0,,,,,,,,-177.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Backhand,,,262150,44.0,,,,,,,,Near,,,Ad,,,52.0,,,,,,,,,500.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan
,Down the Line,,,5,,,,,,,7.0,,,,,,,,415.0,,,30-30,0-0,,,,0-0,Rudy Quan,,Forehand,,,263765,92.0,,,,,,,,Near,,,Deuce,,,39.0,,,,,,,,,-503.0,Rudy Quan,Aristotelis Thanos,Aristotelis Thanos,Rudy Quan,Rudy Quan
