pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,InsideOut,InsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
40-15,0-1,0-0,,928510,,,10,,6,Ad,Rudy Quan,Near,,,,,,,,,,59.0,434.0,Crosscourt,Forehand,,,,,,,,,,-74.0,-240.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,1.0,,,,,,,Short
40-15,0-1,0-0,,929808,,,10,,7,Ad,Rudy Quan,Near,,,,,,,,,,-120.0,-446.0,Crosscourt,Backhand,,,,,,,,,,62.0,301.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
40-15,0-1,0-0,,931258,,,10,,8,Ad,Rudy Quan,Near,,,,,,,,,,72.0,452.0,Down the Line,Forehand,,,,,,,,,,112.0,-347.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,1.0,,,,,,Short
40-15,0-1,0-0,,932376,,,10,,9,Deuce,Rudy Quan,Near,,,,,,,,,,168.0,-496.0,Crosscourt,Forehand,,,,,,,,,,-88.0,333.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
40-15,0-1,0-0,,934295,,,10,,10,Deuce,Rudy Quan,Near,,,,,,,,,,-157.0,458.0,Down the Line,Forehand,,,,,,,,,,-80.0,-358.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
40-15,0-1,0-0,,935717,,,10,,11,Ad,Rudy Quan,Near,,,,,,,,,,-80.0,-366.0,Crosscourt,Backhand,,,,,,,,,,35.0,402.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Deep
40-15,0-1,0-0,,937012,,,10,,12,Ad,Rudy Quan,Near,,,,,,,,,,32.0,463.0,Down the Line,Backhand,,,,,,,,,,46.0,-238.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
40-15,0-1,0-0,,938399,,,10,,13,Deuce,Rudy Quan,Near,,,,,,,,,,54.0,-427.0,Down the Line,Forehand,1.0,,,,,,,,,83.0,330.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,,,,,Short
40-15,0-1,0-0,,939634,,,10,,14,Ad,Rudy Quan,Near,,,,,,,,,,91.0,447.0,Crosscourt,Backhand,,,,,,,,,,-24.0,-291.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Short
40-15,0-1,0-0,,940951,,,10,,15,Ad,Rudy Quan,Near,,,,,,,,,,-50.0,-446.0,Crosscourt,Forehand,,,,,,,,,,64.0,452.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,1.0,,,,,,,Deep
40-15,0-1,0-0,,942378,,,10,,16,Ad,Rudy Quan,Near,,,,,,,,,,70.0,460.0,Crosscourt,Backhand,,,,,,,,,,-80.0,-443.0,,,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Iiro Vasa,,,,,,,,Deep
40-15,0-1,0-0,,944047,1.0,945277.0,10,,17,Ad,Rudy Quan,Near,,,,,,,,,,-93.0,-464.0,Crosscourt,Backhand,,,,,,,,,,165.0,327.0,,1.0,,,,UCLA,1/20/25,Division 1,,,,UCLA,University of San Diego,Rudy Quan,Iiro Vasa,Right,Right,,Hard,,,Iiro Vasa,Rudy Quan,,,,Iiro Vasa,1,,,
