pointScore,gameScore,setScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,pointNumber,isBreakPoint,shotInRally,side,serverName,serverFarNear,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,isExcitingPoint,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,clientTeam,Date,Division,Event,lineupPosition,matchDetails,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes,tiebreakScore,returnerName,shotHitBy,isInsideOut,isInsideIn,isDoubleFault,pointWonBy,lastShotError,serveResult,serveInPlacement,depth
15-15,3-3,0-1,,4207802,,,90,,3,Ad,Catherine Gagnon,Near,,,,,,,,,,-125.0,-513.0,Crosscourt,Backhand,,,,,,,,,,37.0,393.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,,,Deep
15-15,3-3,0-1,,4209570,1.0,,90,,4,Ad,Catherine Gagnon,Near,,,,,,,,,,77.0,473.0,Crosscourt,Forehand,,,,,,,,,,-322.0,-283.0,,1.0,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,1,,,Catherine Gagnon,1,,,
15-30,3-3,0-1,1.0,4212520,,,91,,1,Ad,Catherine Gagnon,Near,1.0,Body,72.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,1st Serve In,Body,
15-30,3-3,0-1,,4238806,,,91,,2,Ad,Catherine Gagnon,Near,,,,,,,,,,69.0,488.0,Crosscourt,Backhand,,,,,,,,,,-16.0,-310.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,,0,,,Short
15-30,3-3,0-1,,4239998,,,91,,3,Ad,Catherine Gagnon,Near,,,,,,,,,,-85.0,-503.0,Crosscourt,Forehand,,,,,,,,,,43.0,375.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,1,,,,0,,,Deep
15-30,3-3,0-1,,4241626,,,91,,4,Ad,Catherine Gagnon,Near,,,,,,,,,,45.0,483.0,Crosscourt,Backhand,,,,,,,,,,-13.0,-347.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,,0,,,Short
15-30,3-3,0-1,,4242894,,,91,,5,Ad,Catherine Gagnon,Near,,,,,,,,,,-83.0,-511.0,Down the Line,Forehand,,,,,,,,,,-96.0,412.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,1,,,0,,,Deep
15-30,3-3,0-1,,4245091,,,91,,6,Deuce,Catherine Gagnon,Near,,,,,,,,,,-104.0,539.0,Down the Line,Forehand,,,,,,,,,,-88.0,-206.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,,0,,,Short
15-30,3-3,0-1,,4246686,,,91,,7,Ad,Catherine Gagnon,Near,,,,,,,,,,-112.0,-343.0,Crosscourt,Forehand,,,,,,,,,,77.0,226.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,1,,,,0,,,Short
15-30,3-3,0-1,,4248605,1.0,,91,,8,Ad,Catherine Gagnon,Near,,,,,,,,,,136.0,502.0,Down the Line,Backhand,,,,,,,,,,107.0,-467.0,,,,,1.0,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,,,,Catherine Gagnon,1,,,Long
15-40,3-3,0-1,1.0,4249735,,,92,,1,Deuce,Catherine Gagnon,Near,0.0,Wide,-131.0,266.0,1.0,T,-35.0,238.0,,,,,,,,,,,,,,,,,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Catherine Gagnon,,,,,0,2nd Serve In,T,
15-40,3-3,0-1,,4298830,,,92,,2,Deuce,Catherine Gagnon,Near,,,,,,,,,,-80.0,443.0,Crosscourt,Backhand,,,,,,,,,,75.0,-195.0,,,,,,UCLA,3/9/24,D1,,,,,Michigan State University,Anne Lutkemeyer,Catherine Gagnon,Right,Right,,Hard,,,Anne Lutkemeyer,Anne Lutkemeyer,1,,,,0,,,Short
